trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
357,False,"{'a': 0.8, 'e': 0.16779706100018585}",20,0,-23.07033045629645,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
358,False,"{'a': 0.8, 'e': 0.1669601696670407}",30,16,23.750656549796574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.8, 'e': 0.16612745234683307}",30,0,40.29456678755018,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.8, 'e': 0.16529888822158653}",30,7,14.872392291327403,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
361,False,"{'a': 0.8, 'e': 0.1644744565771549}",25,9,15.166577924945953,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.8, 'e': 0.16365413680270405}",30,14,30.923074820378716,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.8, 'e': 0.16283790839019696}",25,8,-24.539441416017542,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
364,False,"{'a': 0.8, 'e': 0.16202575093388075}",25,16,10.524677753187166,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.8, 'e': 0.16121764412977677}",25,5,22.007578510791873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.8, 'e': 0.16041356777517274}",35,23,24.139627111292214,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.8, 'e': 0.15961350176811803}",20,10,5.202339470846575,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.8, 'e': 0.15881742610692068}",30,18,16.48338210115877,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.8, 'e': 0.1580253208896478}",25,14,15.94574407908559,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.8, 'e': 0.1572371663136276}",35,9,29.67740505356209,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.8, 'e': 0.15645294267495474}",20,15,10.043907397143974,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.8, 'e': 0.1556726303679973}",25,11,-17.1380678594396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
373,False,"{'a': 0.8, 'e': 0.15489620988490704}",30,17,18.029236498868563,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.8, 'e': 0.1541236618151314}",35,2,31.19748663270335,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 0}",1
375,False,"{'a': 0.8, 'e': 0.15335496684492847}",30,22,12.6404837913092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.8, 'e': 0.15259010575688386}",25,20,8.767278498937863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.8, 'e': 0.1518290594294306}",20,9,16.214000135542232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.8, 'e': 0.15107180883637084}",30,10,-7.543757389613267,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
379,False,"{'a': 0.8, 'e': 0.15031833504640033}",20,16,7.008971565853729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.8, 'e': 0.14956861922263504}",20,2,-34.20471268603644,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
381,False,"{'a': 0.8, 'e': 0.14882264262214037}",20,8,22.994825424682706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.8, 'e': 0.14808038659546244}",20,13,9.014188293705413,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.8, 'e': 0.14734183258616193}",20,1,8.44022790334013,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
384,False,"{'a': 0.8, 'e': 0.14660696213035015}",20,11,13.515373788889866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.8, 'e': 0.14587575685622736}",30,21,15.71566775755654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.8, 'e': 0.14514819848362373}",20,12,17.481801104461272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.8, 'e': 0.14442426882354198}",30,16,18.58846685874363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.8, 'e': 0.14370394977770293}",20,14,5.311159127804948,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.8, 'e': 0.14298722333809288}",25,17,-26.077431589252416,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
